category,KKTC,İskele
Thu Mar 01 2018,758.98,813.05
Fri Jun 01 2018,753.22,795.18
Sat Sep 01 2018,730.14,787.32
Sat Dec 01 2018,715.48,790.87
Fri Mar 01 2019,676.04,808.76
Sat Jun 01 2019,660.87,846.73
Sun Sep 01 2019,656.43,881.24
Sun Dec 01 2019,654.35,908.83
Sun Mar 01 2020,648.83,925.76
Mon Jun 01 2020,629.84,977.77
Tue Sep 01 2020,614.8,964.36
Tue Dec 01 2020,600.85,942.36
Mon Mar 01 2021,603.74,969.6
Tue Jun 01 2021,616.01,974.05
Wed Sep 01 2021,617.43,977.66
Wed Dec 01 2021,633.57,1009.87
Tue Mar 01 2022,657.95,1075.29
Wed Jun 01 2022,697.14,1073.66
Thu Sep 01 2022,759.61,1169.73
Thu Dec 01 2022,826.27,1284.12
Wed Mar 01 2023,911.16,1431.34
Thu Jun 01 2023,1004.13,1591.48
Fri Sep 01 2023,1067.17,1771.35
Fri Dec 01 2023,1113.42,1826.04
Fri Mar 01 2024,1162.35,1910.6
