category,Lefkoşa,KKTC,Gönyeli
Thu Mar 01 2018,570.02,758.98,584.98
Fri Jun 01 2018,562.53,753.22,568.06
Sat Sep 01 2018,569.51,730.14,559.21
Sat Dec 01 2018,550.78,715.48,548.08
Fri Mar 01 2019,542.73,676.04,534.4
Sat Jun 01 2019,544.28,660.87,535.47
Sun Sep 01 2019,539.87,656.43,534.93
Sun Dec 01 2019,544.02,654.35,541.04
Sun Mar 01 2020,545.67,648.83,543.19
Mon Jun 01 2020,528.85,629.84,531.93
Tue Sep 01 2020,511.74,614.8,524.1
Tue Dec 01 2020,494.07,600.85,523.14
Mon Mar 01 2021,488.13,603.74,514.89
Tue Jun 01 2021,494.42,616.01,503.8
Wed Sep 01 2021,503.18,617.43,519.54
Wed Dec 01 2021,502.92,633.57,510.76
Tue Mar 01 2022,526.49,657.95,503.03
Wed Jun 01 2022,512.62,697.14,478.93
Thu Sep 01 2022,555.99,759.61,496.84
Thu Dec 01 2022,583.4,826.27,535.5
Wed Mar 01 2023,625.84,911.16,589.92
Thu Jun 01 2023,681.46,1004.13,647.54
Fri Sep 01 2023,702.22,1067.17,707.59
Fri Dec 01 2023,701.24,1113.42,769.86
Fri Mar 01 2024,769.03,1162.35,838.87
