category,Lefkoşa,KKTC
Thu Mar 01 2018,570.02,758.98
Fri Jun 01 2018,562.53,753.22
Sat Sep 01 2018,569.51,730.14
Sat Dec 01 2018,550.78,715.48
Fri Mar 01 2019,542.73,676.04
Sat Jun 01 2019,544.28,660.87
Sun Sep 01 2019,539.87,656.43
Sun Dec 01 2019,544.02,654.35
Sun Mar 01 2020,545.67,648.83
Mon Jun 01 2020,528.85,629.84
Tue Sep 01 2020,511.74,614.8
Tue Dec 01 2020,494.07,600.85
Mon Mar 01 2021,488.13,603.74
Tue Jun 01 2021,494.42,616.01
Wed Sep 01 2021,503.18,617.43
Wed Dec 01 2021,502.92,633.57
Tue Mar 01 2022,526.49,657.95
Wed Jun 01 2022,512.62,697.14
Thu Sep 01 2022,555.99,759.61
Thu Dec 01 2022,583.4,826.27
Wed Mar 01 2023,625.84,911.16
Thu Jun 01 2023,681.46,1004.13
Fri Sep 01 2023,702.22,1067.17
Fri Dec 01 2023,701.24,1113.42
Fri Mar 01 2024,769.03,1162.35
