category,Girne,KKTC
Thu Mar 01 2018,924.39,758.98
Fri Jun 01 2018,916.77,753.22
Sat Sep 01 2018,875.21,730.14
Sat Dec 01 2018,861.9,715.48
Fri Mar 01 2019,841.44,676.04
Sat Jun 01 2019,816.22,660.87
Sun Sep 01 2019,803.87,656.43
Sun Dec 01 2019,796.26,654.35
Sun Mar 01 2020,795.46,648.83
Mon Jun 01 2020,774.25,629.84
Tue Sep 01 2020,754.16,614.8
Tue Dec 01 2020,736.32,600.85
Mon Mar 01 2021,745.78,603.74
Tue Jun 01 2021,760.45,616.01
Wed Sep 01 2021,762.87,617.43
Wed Dec 01 2021,790.64,633.57
Tue Mar 01 2022,777.27,657.95
Wed Jun 01 2022,852.04,697.14
Thu Sep 01 2022,930.58,759.61
Thu Dec 01 2022,1039.58,826.27
Wed Mar 01 2023,1157.71,911.16
Thu Jun 01 2023,1277.3,1004.13
Fri Sep 01 2023,1350.69,1067.17
Fri Dec 01 2023,1426.58,1113.42
Fri Mar 01 2024,1433.5,1162.35
